Timecount Esin Esind Ez
232 1160.000000 1159.051118 100.574136 1002.111091
233 1165.000000 1164.007153 100.512075 1002.104093
234 1170.000000 1168.954659 100.444474 1002.096649
235 1175.000000 1173.907255 100.376986 1002.090651
236 1180.000000 1178.859381 100.311422 1002.084982
237 1185.000000 1183.814597 100.254065 1002.079678
238 1190.000000 1188.718877 100.145818 1002.070620
239 1195.000000 1193.621717 100.044317 1002.061635
240 1200.000000 1198.546897 99.982314 1002.053858
241 1205.000000 1203.456954 99.913552 1002.044613
242 1210.000000 1208.397569 99.878371 1002.038239
243 1215.000000 1213.355481 99.860616 1002.033603
244 1220.000000 1218.322103 99.850219 1002.029971
245 1225.000000 1223.298604 99.849455 1002.027274
246 1230.000000 1228.255289 99.824953 1002.023281
247 1235.000000 1233.214186 99.806606 1002.019328
248 1240.000000 1238.222388 99.824087 1002.020851
249 1245.000000 1243.234877 99.841076 1002.023015
250 1250.000000 1248.238916 99.855806 1002.023774
251 1255.000000 1253.238958 99.856599 1002.024958
252 1260.000000 1258.231940 99.855797 1002.025056
253 1265.000000 1263.226704 99.859712 1002.025047
254 1270.000000 1268.228914 99.871693 1002.025572
255 1275.000000 1273.224865 99.877082 1002.025502
256 1280.000000 1278.228210 99.879059 1002.026966
257 1285.000000 1283.261616 99.913506 1002.030707
258 1290.000000 1288.249511 99.904521 1002.030172
259 1295.000000 1293.270490 99.934373 1002.031954
260 1300.000000 1298.295991 99.967045 1002.034017
261 1305.000000 1303.340302 100.012600 1002.037897
262 1310.000000 1308.358948 100.024423 1002.039962
263 1315.000000 1313.366446 100.023603 1002.041120
264 1320.000000 1318.366494 100.016927 1002.041519
265 1325.000000 1323.374535 100.016802 1002.042770
266 1330.000000 1328.359475 99.988610 1002.042538
267 1335.000000 1333.338306 99.969540 1002.040676
268 1340.000000 1338.315325 99.935069 1002.040041
269 1345.000000 1343.279676 99.904359 1002.037178
270 1350.000000 1348.253181 99.889731 1002.034729
271 1355.000000 1353.227596 99.885406 1002.031649
272 1360.000000 1358.230192 99.903339 1002.031489
273 1365.000000 1363.251511 99.937447 1002.032967
274 1370.000000 1368.266198 99.959865 1002.034051
275 1375.000000 1373.282328 99.985096 1002.034937
276 1380.000000 1378.296307 99.995201 1002.036581
277 1385.000000 1383.289373 99.984098 1002.036417
278 1390.000000 1388.302138 99.987792 1002.038421
279 1395.000000 1393.313396 99.989275 1002.040334
280 1400.000000 1398.319051 99.987991 1002.041514
281 1405.000000 1403.334151 99.998946 1002.043243
282 1410.000000 1408.350100 100.016534 1002.044438
283 1415.000000 1413.364849 100.037870 1002.044943
284 1420.000000 1418.400102 100.076325 1002.047272
285 1425.000000 1423.445408 100.124210 1002.050167
286 1430.000000 1428.498458 100.170479 1002.054127
287 1435.000000 1433.548462 100.200409 1002.058613
